Name,Value,Units,Comments
multiple_factor,1 mm,mm,
link_hole_dia,4.25 mm,mm,
bar_width,12 mm,mm,
after_hole_length,12 mm,mm,
bar_thickness,2.3 mm,mm,
tt_motor_axile_screw,2.5 mm,mm,
tt_motor_axile_dia,6 mm,mm,
tt_motor_axile_flat,4.381 mm,mm,
link_a,38*multiple_factor,mm,
link_b,41.5*multiple_factor,mm,
link_c,39.3*multiple_factor,mm,
link_d,40.1*multiple_factor,mm,
link_e,55.8*multiple_factor,mm,
link_f,39.4*multiple_factor,mm,
link_g,36.7*multiple_factor,mm,
link_h,65.7*multiple_factor,mm,
link_i,49*multiple_factor,mm,
link_j,50*multiple_factor,mm,
link_k,61.9*multiple_factor,mm,
link_l,7.8*multiple_factor,mm,
link_m,15*multiple_factor,mm,
